,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,75,AR,1561222686,86,-54.81,-68.31,33.8,6.93
1,Bluff,39,AU,1561222687,62,-23.58,149.07,55.47,4.25
2,Kodiak,75,US,1561222688,74,39.95,-94.76,80.01,16.11
3,Gympie,0,AU,1561222690,86,-26.2,152.66,48.99,1.01
4,Crotone,0,IT,1561222691,58,39.09,17.12,84.2,12.75
5,Amapa,40,HN,1561222692,70,15.09,-87.97,86.0,2.24
6,Clovis,1,US,1561222581,38,36.83,-119.7,78.01,8.05
7,Port Lincoln,9,AU,1561222694,64,-34.72,135.86,56.19,13.56
8,Port Alfred,45,ZA,1561222695,68,-33.59,26.89,60.01,3.0
9,Punta Arenas,20,CL,1561222696,75,-53.16,-70.91,41.0,9.17
10,Jamestown,0,AU,1561222631,74,-33.21,138.6,40.89,7.7
11,Busselton,31,AU,1561222699,85,-33.64,115.35,60.01,11.79
12,Okhotsk,97,RU,1561222700,94,59.36,143.24,43.77,4.16
13,Rikitea,100,PF,1561222701,86,-23.12,-134.97,75.63,21.07
14,Khatanga,0,RU,1561222702,34,71.98,102.47,63.93,15.03
15,Taksimo,61,RU,1561222703,85,56.36,114.84,51.15,6.89
16,Tumut,0,AU,1561222705,78,-35.3,148.22,32.97,3.78
17,Gizo,20,IL,1561222706,65,31.8,34.94,82.0,9.17
18,Asasa,37,ET,1561222707,84,7.1,39.2,53.85,3.0
19,Nouadhibou,0,MR,1561222708,64,20.93,-17.03,73.4,25.28
20,Mataura,68,NZ,1561222709,97,-46.19,168.86,42.01,1.01
21,Torbay,75,CA,1561222710,83,47.66,-52.73,75.2,19.46
22,Kapaa,75,US,1561222712,88,22.08,-159.32,77.0,10.29
23,Cape Town,73,ZA,1561222575,78,-33.93,18.42,62.01,7.0
24,Saint Anthony,1,US,1561222714,50,43.97,-111.68,55.0,6.93
25,Grand-Santi,0,GF,1561222715,50,4.27,-54.38,89.85,6.17
26,Arraial do Cabo,40,BR,1561222556,61,-22.97,-42.02,77.0,11.41
27,Maraa,35,BR,1561222717,55,-1.83,-65.37,90.57,3.04
28,Upernavik,100,GL,1561222718,76,72.79,-56.15,33.87,2.19
29,Laizhou,0,CN,1561222719,64,37.18,119.93,75.09,4.65
30,Namibe,0,AO,1561222720,86,-15.19,12.15,70.95,4.23
31,Srednekolymsk,16,RU,1561222722,53,67.46,153.71,57.09,13.44
32,Albany,75,US,1561222723,47,42.65,-73.75,78.01,17.22
33,Ponta do Sol,75,BR,1561222724,66,-20.63,-46.0,68.79,6.96
34,Bang Saphan,87,TH,1561222725,84,11.21,99.51,81.21,11.95
35,Carnarvon,10,ZA,1561222495,60,-30.97,22.13,44.67,9.1
36,Geraldton,75,CA,1561222727,37,49.72,-86.95,69.8,6.93
37,Saint-Philippe,1,CA,1561222729,36,45.36,-73.48,78.01,9.17
38,Nikolskoye,0,RU,1561222730,39,59.7,30.79,64.99,24.61
39,Road Town,40,VG,1561222731,66,18.42,-64.62,86.0,11.41
40,Iqaluit,40,CA,1561222732,46,63.75,-68.52,53.6,24.16
41,Kontagora,61,NG,1561222733,67,10.4,5.47,84.27,3.87
42,Raeren,41,BE,1561222734,47,50.68,6.11,79.0,10.29
